Category,Difference,Observed Frequency,pValue,Cumulative
Spread,18.0,285,0.024923480542195016,0.13108876257105379
Spread,19.0,303,0.0264975951027547,0.1575863576738085
Spread,20.0,367,0.03209444687363358,0.18968080454744207
Spread,21.0,430,0.03760384783559248,0.0
Spread,22.0,438,0.03830345430695234,0.7727153476169655
Spread,23.0,468,0.04092697857455181,0.7344118933100131
Spread,24.0,552,0.04827284652383035,0.6934849147354613
Spread,25.0,560,0.04897245299519021,0.6452120682116309
Spread,26.0,621,0.05430695233930914,0.5962396152164408
Spread,27.0,586,0.05124617402710975,0.5419326628771316
Spread,28.0,635,0.055531263664188896,0.49068648885002186
Spread,29.0,641,0.05605596851770879,0.43515522518583294
Spread,30.0,641,0.05605596851770879,0.37909925666812416
Spread,31.0,654,0.05719282903366856,0.3230432881504154
Spread,32.0,614,0.05369479667686926,0.2658504591167468
Spread,33.0,563,0.049234805421950155,0.21215566243987757
Spread,34.0,526,0.0459991254919108,0.1629208570179274
Spread,35.0,478,0.04180148666375164,0.11692173152601662
Spread,36.0,415,0.036292085701792744,0.07512024486226498
Spread,37.0,299,0.02614779186707477,0.038828159160472234
Spread,38.0,145,0.012680367293397464,0.012680367293397464
Standard Deviation,1.41,1,8.745080891998251e-05,8.745080891998251e-05
Standard Deviation,1.72,1,8.745080891998251e-05,0.00017490161783996502
Standard Deviation,1.85,4,0.00034980323567993004,0.000524704853519895
Standard Deviation,2.0,2,0.00017490161783996502,0.0006996064713598601
Standard Deviation,2.06,1,8.745080891998251e-05,0.0007870572802798426
Standard Deviation,2.15,1,8.745080891998251e-05,0.0008745080891998251
Standard Deviation,2.28,1,8.745080891998251e-05,0.0009619588981198076
Standard Deviation,2.32,5,0.00043725404459991256,0.0013992129427197202
Standard Deviation,2.42,5,0.00043725404459991256,0.0018364669873196327
Standard Deviation,2.56,1,8.745080891998251e-05,0.001923917796239615
Standard Deviation,2.58,3,0.0002623524267599475,0.0021862702229995625
Standard Deviation,2.61,1,8.745080891998251e-05,0.002273721031919545
Standard Deviation,2.71,1,8.745080891998251e-05,0.0023611718408395274
Standard Deviation,2.73,3,0.0002623524267599475,0.002623524267599475
Standard Deviation,2.79,1,8.745080891998251e-05,0.0027109750765194575
Standard Deviation,2.83,2,0.00017490161783996502,0.0028858766943594223
Standard Deviation,2.86,2,0.00017490161783996502,0.003060778312199387
Standard Deviation,2.87,1,8.745080891998251e-05,0.0031482291211193695
Standard Deviation,2.93,1,8.745080891998251e-05,0.003235679930039352
Standard Deviation,2.99,1,8.745080891998251e-05,0.0033231307389593344
Standard Deviation,3.01,3,0.0002623524267599475,0.003585483165719282
Standard Deviation,3.03,3,0.0002623524267599475,0.0038478355924792297
Standard Deviation,3.06,3,0.0002623524267599475,0.004110188019239177
Standard Deviation,3.07,3,0.0002623524267599475,0.004372540445999124
Standard Deviation,3.12,1,8.745080891998251e-05,0.004459991254919107
Standard Deviation,3.16,2,0.00017490161783996502,0.0046348928727590714
Standard Deviation,3.19,2,0.00017490161783996502,0.004809794490599036
Standard Deviation,3.2,2,0.00017490161783996502,0.004984696108439001
Standard Deviation,3.22,1,8.745080891998251e-05,0.0050721469173589835
Standard Deviation,3.26,8,0.0006996064713598601,0.005771753388718844
Standard Deviation,3.29,1,8.745080891998251e-05,0.005859204197638826
Standard Deviation,3.31,7,0.0006121556624398776,0.006471359860078704
Standard Deviation,3.32,2,0.00017490161783996502,0.006646261477918669
Standard Deviation,3.37,1,8.745080891998251e-05,0.006733712286838651
Standard Deviation,3.38,1,8.745080891998251e-05,0.0068211630957586335
Standard Deviation,3.41,2,0.00017490161783996502,0.006996064713598598
Standard Deviation,3.43,1,8.745080891998251e-05,0.007083515522518581
Standard Deviation,3.44,5,0.00043725404459991256,0.007520769567118494
Standard Deviation,3.49,1,8.745080891998251e-05,0.007608220376038476
Standard Deviation,3.5,3,0.0002623524267599475,0.007870572802798424
Standard Deviation,3.52,1,8.745080891998251e-05,0.007958023611718407
Standard Deviation,3.54,5,0.00043725404459991256,0.008395277656318319
Standard Deviation,3.56,2,0.00017490161783996502,0.008570179274158284
Standard Deviation,3.58,1,8.745080891998251e-05,0.008657630083078266
Standard Deviation,3.6,2,0.00017490161783996502,0.00883253170091823
Standard Deviation,3.61,8,0.0006996064713598601,0.00953213817227809
Standard Deviation,3.63,1,8.745080891998251e-05,0.009619588981198073
Standard Deviation,3.66,2,0.00017490161783996502,0.009794490599038037
Standard Deviation,3.69,2,0.00017490161783996502,0.009969392216878002
Standard Deviation,3.71,3,0.0002623524267599475,0.01023174464363795
Standard Deviation,3.72,3,0.0002623524267599475,0.010494097070397897
Standard Deviation,3.74,5,0.00043725404459991256,0.010931351114997809
Standard Deviation,3.76,4,0.00034980323567993004,0.011281154350677738
