Category,Difference,Observed Frequency,pValue,Cumulative
Standard Deviation,19.02,1,0.0008368200836820083,0.39414225941422826
Standard Deviation,19.05,1,0.0008368200836820083,0.39330543933054624
Standard Deviation,19.06,2,0.0016736401673640166,0.3924686192468642
Standard Deviation,19.08,5,0.0041841004184100415,0.39079497907950017
Standard Deviation,19.09,2,0.0016736401673640166,0.3866108786610901
Standard Deviation,19.11,1,0.0008368200836820083,0.3849372384937261
Standard Deviation,19.12,2,0.0016736401673640166,0.38410041841004405
Standard Deviation,19.14,1,0.0008368200836820083,0.38242677824268
Standard Deviation,19.15,2,0.0016736401673640166,0.381589958158998
Standard Deviation,19.16,1,0.0008368200836820083,0.37991631799163395
Standard Deviation,19.17,1,0.0008368200836820083,0.3790794979079519
Standard Deviation,19.18,2,0.0016736401673640166,0.3782426778242699
Standard Deviation,19.2,1,0.0008368200836820083,0.37656903765690586
Standard Deviation,19.21,4,0.0033472803347280333,0.37573221757322384
Standard Deviation,19.22,1,0.0008368200836820083,0.3723849372384958
Standard Deviation,19.24,2,0.0016736401673640166,0.3715481171548138
Standard Deviation,19.26,2,0.0016736401673640166,0.36987447698744974
Standard Deviation,19.28,1,0.0008368200836820083,0.3682008368200857
Standard Deviation,19.29,2,0.0016736401673640166,0.3673640167364037
Standard Deviation,19.3,1,0.0008368200836820083,0.36569037656903963
Standard Deviation,19.31,1,0.0008368200836820083,0.3648535564853576
Standard Deviation,19.32,3,0.002510460251046025,0.3640167364016756
Standard Deviation,19.33,1,0.0008368200836820083,0.3615062761506296
Standard Deviation,19.34,1,0.0008368200836820083,0.36066945606694756
Standard Deviation,19.35,1,0.0008368200836820083,0.35983263598326554
Standard Deviation,19.36,2,0.0016736401673640166,0.3589958158995835
Standard Deviation,19.37,2,0.0016736401673640166,0.35732217573221947
Standard Deviation,19.38,1,0.0008368200836820083,0.35564853556485543
Standard Deviation,19.4,1,0.0008368200836820083,0.3548117154811734
Standard Deviation,19.41,1,0.0008368200836820083,0.3539748953974914
Standard Deviation,19.42,2,0.0016736401673640166,0.35313807531380936
Standard Deviation,19.46,3,0.002510460251046025,0.3514644351464453
Standard Deviation,19.47,3,0.002510460251046025,0.3489539748953993
Standard Deviation,19.48,1,0.0008368200836820083,0.3464435146443533
Standard Deviation,19.5,1,0.0008368200836820083,0.3456066945606713
Standard Deviation,19.52,4,0.0033472803347280333,0.34476987447698926
Standard Deviation,19.54,1,0.0008368200836820083,0.3414225941422612
Standard Deviation,19.55,1,0.0008368200836820083,0.3405857740585792
Standard Deviation,19.56,1,0.0008368200836820083,0.3397489539748972
Standard Deviation,19.57,1,0.0008368200836820083,0.33891213389121516
Standard Deviation,19.58,1,0.0008368200836820083,0.33807531380753314
Standard Deviation,19.61,1,0.0008368200836820083,0.3372384937238511
Standard Deviation,19.62,1,0.0008368200836820083,0.3364016736401691
Standard Deviation,19.63,1,0.0008368200836820083,0.3355648535564871
Standard Deviation,19.65,2,0.0016736401673640166,0.33472803347280505
Standard Deviation,19.67,1,0.0008368200836820083,0.333054393305441
Standard Deviation,19.68,3,0.002510460251046025,0.332217573221759
Standard Deviation,19.69,2,0.0016736401673640166,0.329707112970713
Standard Deviation,19.72,2,0.0016736401673640166,0.32803347280334894
Standard Deviation,19.77,1,0.0008368200836820083,0.3263598326359849
